taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,created,modified,reference,source,majorGroup,tplID
wfo-0001229675,urn:lsid:ipni.org:names:332144-1,50060583,Rhododendron chamaethomsonii,species,wfo-1000002601,(Tagg) Cowan & Davidian,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,chamaethomsonii,,species,Valid,Rhododendron Year Book 6: 70 (1951),Accepted,,wfo-0001048882,,"Source in seed data: tro Update namepublishedIn from Rhododendron Year Book 6: 70 1951 to Rhododendron Year Book 6: 70 (1951), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001229675,The Ericaceae TEN,A,tro-50060583
wfo-0001229333,urn:lsid:ipni.org:names:333127-1,50060078,Rhododendron praeteritum,species,wfo-1000002597,Hutch.,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,praeteritum,,species,Valid,"Gard. Chron. , ser. 3, 71: 149 (1922)",Accepted,,,,"Source in seed data: tro Update namepublishedIn from Gard. Chron., ser. 3 71: 149 1922 to Gard. Chron. , ser. 3, 71: 149 (1922), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001229333,The Ericaceae TEN,A,tro-50060078
wfo-0001366260,urn:lsid:ipni.org:names:966577-1,ten:padme.rbge.org.uk:ericaceae15358,Rhododendron lepidotum subsp. salignum,subspecies,,(Hook.f.) Pradhan & Lachungpa,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,lepidotum,salignum,subspecies,Valid,Sikkim-Himalayan Rhododendrons : 45 (1990),Synonym,wfo-0001230889,wfo-0000405411,,"Source in seed data: ipni Update namepublishedIn from Sikkim-Himalayan Rhododendrons 45 (1990):. to Sikkim-Himalayan Rhododendrons : 45 (1990), information provided by Alan E. on email Jun. 07 2021",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001366260,The Ericaceae TEN,A,
wfo-1000040571,urn:lsid:ipni.org:names:900791-1,ten:padme.rbge.org.uk:ericaceae15540,Rhododendron rufescens,species,,P.C.Tam,Ericaceae,Ericoideae,,,Rhododendron,Azaleastrum,rufescens,,species,Valid,"Bull. Bot. Res., Harbin 2 (4):86. (1982)",Synonym,wfo-0001229807,,,,2022-09-30,2024-11-20,https://padme.rbge.org.uk/wfo/wfo-1000040571,The Ericaceae TEN,A,
wfo-0001048896,,12305021,Rhododendron lacteum var. macrophyllum,variety,,Franch.,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,lacteum,macrophyllum,variety,Valid,Bull. Soc. Bot. France 34: 280 1887,Synonym,wfo-0001229363,,,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-12305021 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-12305021 >The Plant List v.1.0</a>,2022-04-16,2023-10-18,https://padme.rbge.org.uk/wfo/wfo-0001048896,The Ericaceae TEN,A,tro-12305021
wfo-0001219922,,50002313,Rhododendron concinnum var. lepidanthum,variety,,(Rehder & E.H.Wilson) Rehder,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,concinnum,lepidanthum,variety,Valid,J. Arnold Arbor. 20(4): 424–425 1939,Synonym,wfo-0001048139,wfo-0001048144,,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50002313 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-50002313 >The Plant List v.1.0</a>,2022-04-16,2022-10-11,https://padme.rbge.org.uk/wfo/wfo-0001219922,The Ericaceae TEN,A,tro-50002313
wfo-0001228368,urn:lsid:ipni.org:names:333540-1,50054431,Rhododendron vaniotii,species,wfo-1000002517,H.Lév.,Ericaceae,Ericoideae,,,Rhododendron,Choniastrum,vaniotii,,species,Valid,Repert. Spec. Nov. Regni Veg. 13: 148 (1914),Accepted,,,,"Source in seed data: tro Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 13(355–358): 148 1914 to Repert. Spec. Nov. Regni Veg. 13: 148 (1914), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001228368,The Ericaceae TEN,A,tro-50054431
wfo-0000400464,urn:lsid:ipni.org:names:332071-1,557217,Rhododendron buxifolium,species,wfo-1000002633,H.Low ex Hook.f.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,buxifolium,,species,Valid,Hooker's Icon. Pl. 9: t. 890 (1852),Accepted,,,,"Source in seed data: ksu Updated scientificnameAuthorship from H.Low ex Hook.f. to Low ex Hook.f., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2419029 >The Pla",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000400464,The Ericaceae TEN,A,kew-2419029
wfo-0001230679,urn:lsid:ipni.org:names:880156-1,50064374,Rhododendron cinnabarinum subsp. xanthocodon,subspecies,wfo-0001230677,(Hutch.) Cullen,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,cinnabarinum,xanthocodon,subspecies,Valid,Notes Roy. Bot. Gard. Edinburgh 36: 113 (1978),Accepted,,wfo-0001230682,,"Source in seed data: tro Update namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 36(1): 113 1978 to Notes Roy. Bot. Gard. Edinburgh 36: 113 (1978), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001230679,The Ericaceae TEN,A,tro-50064374
wfo-0000557948,urn:lsid:ipni.org:names:326954-1,799263,Azalea teysmannii,species,,(Miq.) Kuntze,Ericaceae,Ericoideae,,,Azalea,Vireya,teysmannii,,species,Valid,Revis. Gen. Pl. 2: 387 (1891),Synonym,wfo-0001360861,wfo-0000405664,,"Source in seed data: cmp Updated scientificnameAuthorship from (Miq.) Kuntze to Kuntze, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2667264 >The Plant List v.1",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000557948,The Ericaceae TEN,A,kew-2667264
wfo-0001048588,urn:lsid:ipni.org:names:332055-1,12304684,Rhododendron brunneifolium,species,,Balf.f. & Forrest,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,brunneifolium,,species,Valid,Notes Roy. Bot. Gard. Edinburgh 13: 33 (1920),Synonym,wfo-0001229692,,,"Source in seed data: tro Update namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 13(61): 33 1920 to Notes Roy. Bot. Gard. Edinburgh 13: 33 (1920), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001048588,The Ericaceae TEN,A,tro-12304684
wfo-1200001494,urn:lsid:ipni.org:names:77224668-1,ten:padme.rbge.org.uk:ericaceae15542,Rhododendron tsoi var. tsoi,variety,wfo-0001047946,,Ericaceae,Ericoideae,,,Rhododendron,Azaleastrum,tsoi,tsoi,variety,Valid,,Accepted,,,,,2022-07-26,2024-11-20,https://padme.rbge.org.uk/wfo/wfo-1200001494,The Ericaceae TEN,A,
